iter,elapsed_sec,avg_iter_sec,eta_target_sec,total_est_sec
132,106.79,0.8090,80797.36,80904.15
133,108.08,0.8126,81153.31,81261.39
134,108.74,0.8115,81043.01,81151.76
135,109.38,0.8102,80911.68,81021.06
136,110.03,0.8090,80790.78,80900.80
137,111.28,0.8123,81114.65,81225.93
138,111.96,0.8113,81016.14,81128.10
139,112.60,0.8101,80895.35,81007.95
140,113.26,0.8090,80786.20,80899.46
141,114.52,0.8122,81106.79,81221.31
142,115.16,0.8110,80980.43,81095.58
143,115.81,0.8098,80867.42,80983.23
144,116.47,0.8088,80766.31,80882.78
145,117.73,0.8119,81075.35,81193.08
146,118.39,0.8109,80968.43,81086.82
147,119.05,0.8098,80865.33,80984.38
148,119.69,0.8087,80750.56,80870.24
149,120.95,0.8118,81055.53,81176.48
150,121.60,0.8107,80944.43,81066.03
151,122.26,0.8097,80844.47,80966.73
152,122.89,0.8085,80727.21,80850.10
153,124.16,0.8115,81028.19,81152.36
154,124.82,0.8105,80923.99,81048.80
155,125.48,0.8096,80829.62,80955.10
156,126.12,0.8084,80717.33,80843.44
157,127.39,0.8114,81015.20,81142.59
158,128.04,0.8104,80910.55,81038.59
159,128.68,0.8093,80804.50,80933.18
160,129.32,0.8082,80694.59,80823.91
161,130.61,0.8112,80993.73,81124.34
162,131.26,0.8102,80893.11,81024.37
163,131.93,0.8094,80809.52,80941.46
164,132.56,0.8083,80696.31,80828.87
165,133.85,0.8112,80986.36,81120.21
166,134.49,0.8102,80881.00,81015.49
167,135.14,0.8092,80787.73,80922.88
168,136.41,0.8120,81062.95,81199.36
169,137.08,0.8111,80974.33,81111.40
170,137.73,0.8102,80878.92,81016.65
171,138.37,0.8092,80779.26,80917.63
172,139.66,0.8120,81057.48,81197.14
173,140.30,0.8110,80959.00,81099.30
174,140.96,0.8101,80868.31,81009.27
175,141.59,0.8091,80769.13,80910.72
176,142.87,0.8118,81035.36,81178.24
177,143.53,0.8109,80949.35,81092.88
178,144.21,0.8102,80872.32,81016.53
179,144.86,0.8093,80781.91,80926.77
180,146.10,0.8117,81022.75,81168.86
181,146.75,0.8108,80929.93,81076.68
182,147.40,0.8099,80839.60,80987.00
183,148.02,0.8089,80739.13,80887.15
184,149.30,0.8114,80991.53,81140.83
185,149.95,0.8105,80903.84,81053.79
186,150.60,0.8097,80816.71,80967.31
187,151.25,0.8088,80733.20,80884.45
188,152.51,0.8112,80970.26,81122.77
189,153.16,0.8104,80882.21,81035.36
190,153.82,0.8096,80804.40,80958.22
191,154.46,0.8087,80713.87,80868.33
192,155.74,0.8112,80960.48,81116.23
193,156.38,0.8103,80868.71,81025.09
194,157.04,0.8095,80793.24,80950.28
195,157.68,0.8086,80703.03,80860.71
196,158.95,0.8110,80937.70,81096.65
197,159.60,0.8101,80853.79,81013.39
198,160.26,0.8094,80777.76,80938.02
199,160.87,0.8084,80679.92,80840.79
200,162.15,0.8107,80911.13,81073.28
201,162.80,0.8099,80831.31,80994.11
202,163.45,0.8091,80750.02,80913.46
203,164.07,0.8082,80657.69,80821.75
204,165.37,0.8106,80897.63,81063.00
205,166.02,0.8099,80820.69,80986.72
206,166.66,0.8090,80737.67,80904.33
207,167.30,0.8082,80655.26,80822.56
208,168.59,0.8105,80885.80,81054.40
209,169.26,0.8098,80815.40,80984.66
210,169.91,0.8091,80738.59,80908.50
211,171.14,0.8111,80937.51,81108.65
212,171.90,0.8109,80914.96,81086.86
213,172.56,0.8102,80843.31,81015.88
214,173.21,0.8094,80764.99,80938.19
215,174.45,0.8114,80966.23,81140.68
216,175.11,0.8107,80896.10,81071.21
217,175.77,0.8100,80823.11,80998.88
218,176.42,0.8093,80749.09,80925.51
219,177.68,0.8113,80953.28,81130.96
220,178.32,0.8105,80875.10,81053.42
221,178.97,0.8098,80804.11,80983.08
222,179.62,0.8091,80729.16,80908.78
223,180.89,0.8112,80937.38,81118.28
224,181.53,0.8104,80859.64,81041.17
225,182.20,0.8098,80794.67,80976.87
226,182.86,0.8091,80726.84,80909.69
227,184.11,0.8111,80923.18,81107.30
228,184.77,0.8104,80856.69,81041.46
229,185.42,0.8097,80782.82,80968.23
230,186.07,0.8090,80712.73,80898.79
231,187.33,0.8109,80906.69,81094.02
232,187.97,0.8102,80832.39,81020.35
233,188.61,0.8095,80758.85,80947.46
234,189.25,0.8088,80688.63,80877.88
235,190.54,0.8108,80890.42,81080.96
236,191.18,0.8101,80818.92,81010.11
237,191.86,0.8095,80760.47,80952.33
238,192.50,0.8088,80691.38,80883.89
239,193.81,0.8109,80899.03,81092.84
240,194.48,0.8103,80838.04,81032.52
241,195.14,0.8097,80777.85,80972.99
242,195.78,0.8090,80703.75,80899.53
243,197.11,0.8111,80917.19,81114.30
244,197.78,0.8106,80858.28,81056.06
245,198.44,0.8100,80798.40,80996.84
246,199.08,0.8093,80726.02,80925.10
247,200.40,0.8113,80933.93,81134.33
248,201.06,0.8107,80871.84,81072.90
249,201.71,0.8101,80807.09,81008.80
250,202.95,0.8118,80977.45,81180.40
251,203.63,0.8113,80922.49,81126.12
252,204.30,0.8107,80866.30,81070.59
253,204.96,0.8101,80806.73,81011.69
254,206.20,0.8118,80976.09,81182.29
255,206.86,0.8112,80913.31,81120.16
256,207.52,0.8106,80856.72,81064.25
257,208.17,0.8100,80791.41,80999.58
258,209.42,0.8117,80959.72,81169.14
259,210.06,0.8110,80892.77,81102.82
260,210.70,0.8104,80829.04,81039.74
261,211.35,0.8098,80766.04,80977.40
262,212.64,0.8116,80946.52,81159.16
263,213.28,0.8110,80882.12,81095.40
264,213.94,0.8104,80822.12,81036.06
265,214.57,0.8097,80754.59,80969.16
266,215.81,0.8113,80914.60,81130.40
267,216.47,0.8108,80858.77,81075.25
268,217.14,0.8102,80803.91,81021.05
269,217.78,0.8096,80739.85,80957.63
270,219.05,0.8113,80909.07,81128.11
271,219.70,0.8107,80848.83,81068.53
272,220.34,0.8101,80787.25,81007.59
273,221.00,0.8095,80729.56,80950.56
274,222.24,0.8111,80886.65,81108.89
275,222.90,0.8106,80832.36,81055.26
276,223.56,0.8100,80775.23,80998.78
277,224.19,0.8094,80711.30,80935.49
278,225.45,0.8110,80870.85,81096.30
279,226.09,0.8103,80808.43,81034.51
280,226.72,0.8097,80745.03,80971.75
281,227.37,0.8091,80685.87,80913.24
282,228.62,0.8107,80843.00,81071.62
283,229.27,0.8101,80783.29,81012.55
284,229.91,0.8096,80726.02,80955.93
285,230.55,0.8089,80662.61,80893.15
286,231.82,0.8106,80824.74,81056.57
287,232.48,0.8100,80769.42,81001.89
288,233.12,0.8095,80711.93,80945.05
289,233.76,0.8089,80653.04,80886.80
290,235.05,0.8105,80815.91,81050.95
291,235.70,0.8100,80761.79,80997.49
292,236.35,0.8094,80705.09,80941.44
293,237.61,0.8110,80857.74,81095.35
294,238.25,0.8104,80798.28,81036.53
295,238.90,0.8098,80744.58,80983.48
296,239.55,0.8093,80688.35,80927.90
297,240.80,0.8108,80834.98,81075.78
298,241.45,0.8102,80783.14,81024.60
299,242.09,0.8097,80724.39,80966.48
300,242.75,0.8092,80672.99,80915.74
301,243.99,0.8106,80816.77,81060.76
302,244.67,0.8102,80772.87,81017.54
303,245.33,0.8097,80723.29,80968.62
304,245.99,0.8092,80671.04,80917.03
305,247.26,0.8107,80823.18,81070.44
306,247.94,0.8102,80776.69,81024.63
307,248.59,0.8097,80725.18,80973.77
308,249.23,0.8092,80669.44,80918.67
309,250.50,0.8107,80818.02,81068.52
310,251.15,0.8102,80765.98,81017.13
311,251.81,0.8097,80714.47,80966.27
312,252.47,0.8092,80667.28,80919.74
313,253.72,0.8106,80808.45,81062.17
314,254.37,0.8101,80756.63,81011.01
315,255.06,0.8097,80716.03,80971.09
316,255.71,0.8092,80665.04,80920.75
317,256.95,0.8106,80800.40,81057.35
318,257.64,0.8102,80760.50,81018.14
319,258.29,0.8097,80710.54,80968.83
320,258.92,0.8091,80654.22,80913.14
321,260.16,0.8105,80785.29,81045.45
322,260.79,0.8099,80731.22,80992.02
323,261.45,0.8095,80683.58,80945.03
324,262.10,0.8090,80633.28,80895.38
325,263.37,0.8104,80773.74,81037.11
326,264.06,0.8100,80737.22,81001.28
327,264.75,0.8096,80699.81,80964.56
328,265.40,0.8091,80649.00,80914.40
329,266.65,0.8105,80783.22,81049.88
330,267.33,0.8101,80742.98,81010.31
331,267.98,0.8096,80693.96,80961.95
332,268.62,0.8091,80641.31,80909.93
333,269.92,0.8106,80785.67,81055.59
334,270.56,0.8101,80736.61,81007.18
335,271.22,0.8096,80691.13,80962.36
336,272.44,0.8108,80810.97,81083.41
337,273.10,0.8104,80766.75,81039.85
338,273.75,0.8099,80718.37,80992.13
339,274.40,0.8095,80670.66,80945.06
340,275.63,0.8107,80791.57,81067.20
341,276.29,0.8102,80748.07,81024.36
342,276.95,0.8098,80703.66,80980.62
343,277.63,0.8094,80662.81,80940.43
344,278.85,0.8106,80783.23,81062.08
345,279.51,0.8102,80738.92,81018.43
346,280.17,0.8098,80694.98,80975.15
347,280.83,0.8093,80651.22,80932.06
348,282.07,0.8106,80773.53,81055.60
349,282.74,0.8101,80730.37,81013.10
350,283.38,0.8097,80681.82,80965.20
351,284.01,0.8092,80631.48,80915.50
352,285.24,0.8103,80748.30,81033.54
353,285.89,0.8099,80703.71,80989.61
354,286.54,0.8094,80657.62,80944.16
355,287.18,0.8090,80609.28,80896.46
356,288.44,0.8102,80733.28,81021.72
357,289.09,0.8098,80688.00,80977.09
358,289.74,0.8093,80644.11,80933.85
359,290.40,0.8089,80600.75,80891.15
360,291.67,0.8102,80728.62,81020.29
361,292.34,0.8098,80689.11,80981.45
362,293.00,0.8094,80647.05,80940.05
363,293.64,0.8089,80600.03,80893.68
364,294.88,0.8101,80717.20,81012.08
365,295.54,0.8097,80675.48,80971.02
366,296.19,0.8093,80630.95,80927.14
367,296.83,0.8088,80582.65,80879.47
368,298.07,0.8100,80699.99,80998.07
369,298.74,0.8096,80659.35,80958.09
370,299.37,0.8091,80610.78,80910.15
371,300.00,0.8086,80562.97,80862.97
372,301.26,0.8098,80683.33,80984.59
373,301.91,0.8094,80638.77,80940.68
374,302.54,0.8089,80591.21,80893.76
375,303.78,0.8101,80703.09,81006.87
376,304.44,0.8097,80664.33,80968.78
377,305.09,0.8093,80621.32,80926.41
378,305.76,0.8089,80582.24,80888.00
379,307.02,0.8101,80700.01,81007.03
380,307.67,0.8097,80658.89,80966.56
381,308.34,0.8093,80620.41,80928.75
382,308.97,0.8088,80574.21,80883.19
383,310.28,0.8101,80701.96,81012.24
384,310.92,0.8097,80658.75,80969.67
385,311.58,0.8093,80618.15,80929.73
386,312.22,0.8089,80573.55,80885.77
387,313.48,0.8100,80688.45,81001.93
388,314.14,0.8096,80650.47,80964.61
389,314.81,0.8093,80613.77,80928.58
390,315.46,0.8089,80572.26,80887.72
391,316.71,0.8100,80682.32,80999.03
392,317.37,0.8096,80643.29,80960.66
393,318.03,0.8092,80605.43,80923.46
394,318.68,0.8088,80564.69,80883.37
395,319.91,0.8099,80670.54,80990.45
396,320.57,0.8095,80631.94,80952.51
397,321.24,0.8092,80594.84,80916.08
398,321.90,0.8088,80557.98,80879.88
399,323.16,0.8099,80668.82,80991.98
400,323.80,0.8095,80625.38,80949.18
401,324.46,0.8091,80587.39,80911.85
402,325.10,0.8087,80544.68,80869.77
403,326.35,0.8098,80652.92,80979.27
404,327.00,0.8094,80614.02,80941.02
405,327.67,0.8091,80578.91,80906.59
406,328.32,0.8087,80538.19,80866.50
407,329.57,0.8098,80647.00,80976.57
408,330.23,0.8094,80608.08,80938.31
409,330.88,0.8090,80567.96,80898.84
410,331.52,0.8086,80528.19,80859.71
411,332.77,0.8097,80633.52,80966.29
412,333.42,0.8093,80593.95,80927.38
413,334.06,0.8089,80552.76,80886.82
414,334.71,0.8085,80513.45,80848.16
415,335.99,0.8096,80626.42,80962.41
416,336.65,0.8093,80589.15,80925.80
417,337.33,0.8089,80557.46,80894.79
418,338.59,0.8100,80663.05,81001.64
419,339.26,0.8097,80629.14,80968.39
420,339.91,0.8093,80591.35,80931.26
421,340.57,0.8089,80554.26,80894.83
422,341.82,0.8100,80659.18,81001.00
423,342.49,0.8097,80623.85,80966.34
424,343.14,0.8093,80586.83,80929.98
425,343.81,0.8090,80553.01,80896.82
426,345.07,0.8100,80657.10,81002.17
427,345.73,0.8097,80621.71,80967.44
428,346.40,0.8093,80588.40,80934.80
429,347.07,0.8090,80553.90,80900.97
430,348.35,0.8101,80662.25,81010.60
431,349.01,0.8098,80627.94,80976.96
432,349.66,0.8094,80589.47,80939.12
433,350.30,0.8090,80551.10,80901.40
434,351.53,0.8100,80646.33,80997.86
435,352.18,0.8096,80608.75,80960.93
436,352.85,0.8093,80577.14,80929.99
437,353.50,0.8089,80538.28,80891.78
438,354.78,0.8100,80646.10,81000.88
439,355.44,0.8097,80610.52,80965.96
440,356.09,0.8093,80573.69,80929.78
441,356.75,0.8090,80539.31,80896.06
442,358.04,0.8100,80645.49,81003.52
443,358.69,0.8097,80609.12,80967.81
444,359.35,0.8093,80574.36,80933.71
445,359.98,0.8089,80533.97,80893.95
446,361.25,0.8100,80637.39,80998.64
447,361.91,0.8096,80603.09,80965.00
448,362.57,0.8093,80568.14,80930.71
449,363.21,0.8089,80529.17,80892.38
450,364.45,0.8099,80624.06,80988.51
451,365.09,0.8095,80587.23,80952.32
452,365.75,0.8092,80551.29,80917.04
453,366.37,0.8088,80510.04,80876.41
454,367.67,0.8098,80616.93,80984.60
455,368.33,0.8095,80583.34,80951.67
456,368.98,0.8092,80546.61,80915.59
457,369.61,0.8088,80507.06,80876.67
458,370.87,0.8098,80606.15,80977.02
459,371.53,0.8094,80571.63,80943.16
460,372.18,0.8091,80536.25,80908.43
461,373.45,0.8101,80636.06,81009.52
462,374.10,0.8097,80600.12,80974.22
463,374.76,0.8094,80566.47,80941.23
464,375.41,0.8091,80532.57,80907.98
465,376.69,0.8101,80631.90,81008.59
466,377.33,0.8097,80595.47,80972.80
467,377.98,0.8094,80559.10,80937.07
468,378.62,0.8090,80523.56,80902.19
469,379.90,0.8100,80621.53,81001.42
470,380.55,0.8097,80587.11,80967.66
471,381.20,0.8093,80552.64,80933.83
472,381.84,0.8090,80516.92,80898.76
473,383.08,0.8099,80606.25,80989.33
474,383.73,0.8096,80571.85,80955.57
475,384.37,0.8092,80535.50,80919.87
