iter,elapsed_sec,avg_iter_sec,eta_target_sec,total_est_sec
13545,144.56,0.0107,922.71,1067.27
13546,145.37,0.0107,927.78,1073.15
13547,146.12,0.0108,932.51,1078.64
13548,147.51,0.0109,941.26,1088.76
13549,148.27,0.0109,946.02,1094.29
13550,149.04,0.0110,950.88,1099.92
13551,149.76,0.0111,955.42,1105.18
13552,151.13,0.0112,964.08,1115.22
13553,151.89,0.0112,968.85,1120.74
13554,152.66,0.0113,973.66,1126.32
13555,154.02,0.0114,982.27,1136.29
13556,154.80,0.0114,987.11,1141.90
13557,155.57,0.0115,991.93,1147.50
13558,156.34,0.0115,996.76,1153.09
13559,157.72,0.0116,1005.52,1163.24
13560,158.47,0.0117,1010.22,1168.69
13561,159.26,0.0117,1015.17,1174.43
13562,160.03,0.0118,1019.95,1179.97
13563,161.40,0.0119,1028.59,1189.99
13564,162.16,0.0120,1033.36,1195.52
13565,162.92,0.0120,1038.14,1201.07
13566,163.67,0.0121,1042.80,1206.47
13567,165.02,0.0122,1051.31,1216.32
13568,165.78,0.0122,1056.06,1221.84
13569,166.54,0.0123,1060.81,1227.35
13570,167.30,0.0123,1065.56,1232.86
13571,168.67,0.0124,1074.23,1242.90
13572,169.45,0.0125,1079.07,1248.52
13573,170.21,0.0125,1083.81,1254.01
13574,170.96,0.0126,1088.51,1259.48
13575,172.34,0.0127,1097.23,1269.58
13576,173.10,0.0128,1101.97,1275.08
13577,173.89,0.0128,1106.88,1280.77
13578,174.64,0.0129,1111.55,1286.19
13579,176.00,0.0130,1120.15,1296.15
13580,176.79,0.0130,1125.06,1301.85
13581,177.55,0.0131,1129.76,1307.31
13582,178.29,0.0131,1134.37,1312.66
13583,179.68,0.0132,1143.14,1322.82
13584,180.47,0.0133,1148.11,1328.58
13585,181.25,0.0133,1152.93,1334.17
13586,181.98,0.0134,1157.52,1339.50
13587,183.38,0.0135,1166.32,1349.71
13588,184.16,0.0136,1171.12,1355.28
13589,184.92,0.0136,1175.86,1360.77
13590,185.67,0.0137,1180.55,1366.22
13591,187.05,0.0138,1189.21,1376.26
13592,187.81,0.0138,1193.99,1381.80
13593,188.59,0.0139,1198.79,1387.38
13594,189.33,0.0139,1203.41,1392.74
13595,190.72,0.0140,1212.13,1402.85
13596,191.48,0.0141,1216.86,1408.34
13597,192.24,0.0141,1221.57,1413.81
13598,193.60,0.0142,1230.13,1423.73
13599,194.38,0.0143,1235.02,1429.40
13600,195.15,0.0143,1239.76,1434.91
13601,195.91,0.0144,1244.53,1440.44
13602,197.32,0.0145,1253.32,1450.64
13603,198.08,0.0146,1258.05,1456.13
13604,198.85,0.0146,1262.88,1461.73
13605,199.64,0.0147,1267.74,1467.38
13606,201.01,0.0148,1276.38,1477.39
13607,201.77,0.0148,1281.04,1482.80
13608,202.54,0.0149,1285.85,1488.39
13609,203.31,0.0149,1290.60,1493.90
